,name,continent,y,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
135,塞舌尔,非洲,2021,08.30,False,0,0,19777,0,104,17874,1799,0,0,0,0
136,巴哈马,北美洲,2021,08.30,False,0,0,17940,0,354,12702,4884,0,0,0,0
137,巴布亚新几内亚,大洋洲,2021,08.30,False,0,0,17838,0,192,17384,262,0,0,0,0
138,索马里,非洲,2021,08.30,False,92,0,17302,0,963,7695,8644,0,0,0,0
139,塔吉克斯坦,亚洲,2021,08.30,False,40,0,16778,0,124,14867,1787,0,0,0,0
140,东帝汶,亚洲,2021,08.30,False,0,0,16402,0,62,10039,6301,0,0,0,0
141,伯利兹,北美洲,2021,08.30,False,0,0,16012,0,356,13543,2113,0,0,0,0
142,安道尔,欧洲,2021,08.30,False,0,0,15025,0,130,14380,515,0,0,0,0
143,马里,非洲,2021,08.30,False,11,0,14857,0,539,13962,356,0,0,0,0
144,老挝,亚洲,2021,08.30,False,0,0,14641,0,12,3804,10825,0,0,0,0
145,莱索托,非洲,2021,08.30,False,0,0,14395,0,403,6664,7328,0,0,0,0
146,布基纳法索,非洲,2021,08.30,False,3,0,13762,0,171,13385,206,0,0,0,0
147,刚果（布）,非洲,2021,08.30,False,0,0,13533,0,183,12421,929,0,0,0,0
148,贝宁,非洲,2021,08.30,False,0,0,13366,0,128,8136,5102,0,0,0,0
149,布隆迪,非洲,2021,08.30,False,0,0,11994,0,38,773,11183,0,0,0,0
150,吉布提,非洲,2021,08.30,False,13,0,11741,0,157,11495,89,0,0,0,0
151,南苏丹,非洲,2021,08.30,False,0,0,11403,0,120,10514,769,0,0,0,0
152,中非共和国,非洲,2021,08.30,False,0,0,11270,0,99,6859,4312,0,0,0,0
153,尼加拉瓜,北美洲,2021,08.30,False,0,0,11167,0,199,4225,6743,0,0,0,0
154,冰岛,欧洲,2021,08.30,False,53,0,10658,0,33,7087,3538,0,0,0,0
155,冈比亚,非洲,2021,08.30,False,0,0,9626,0,314,7310,2002,0,0,0,0
156,赤道几内亚,非洲,2021,08.30,False,0,0,9326,0,124,8709,493,0,0,0,0
157,毛里求斯,非洲,2021,08.30,False,0,0,8667,0,27,1854,6786,0,0,0,0
158,圣卢西亚,北美洲,2021,08.30,False,61,0,8111,0,103,5398,2610,0,0,0,0
159,也门,亚洲,2021,08.30,False,33,0,7784,0,1461,4271,2052,0,0,0,0
160,厄立特里亚,非洲,2021,08.30,False,1,0,6640,0,37,6475,128,0,0,0,0
161,塞拉利昂,非洲,2021,08.30,False,0,0,6363,0,121,4287,1955,0,0,0,0
162,尼日尔,非洲,2021,08.30,False,6,0,5839,0,198,5351,290,0,0,0,0
163,几内亚比绍,非洲,2021,08.30,False,21,0,5766,0,117,4027,1622,0,0,0,0
164,利比里亚,非洲,2021,08.30,False,0,0,5538,0,245,2715,2578,0,0,0,0
165,圣马力诺,欧洲,2021,08.30,False,0,0,5261,0,90,5009,162,0,0,0,0
166,乍得,非洲,2021,08.30,False,1,0,4991,0,174,4796,21,0,0,0,0
167,巴巴多斯,北美洲,2021,08.30,False,50,0,4931,0,49,4251,631,0,0,0,0
168,科摩罗,非洲,2021,08.30,False,0,0,4062,0,147,3873,42,0,0,0,0
169,新西兰,大洋洲,2021,08.30,False,55,0,3520,0,26,2824,670,0,0,0,0
170,列支敦士登公国,欧洲,2021,08.30,False,0,0,3263,0,59,3018,186,0,0,0,0
171,摩纳哥,欧洲,2021,08.30,False,0,0,3183,0,33,2759,391,0,0,0,0
172,不丹,亚洲,2021,08.30,False,0,0,2594,0,3,2434,157,0,0,0,0
173,圣多美和普林西比民主共和国,非洲,2021,08.30,False,0,0,2590,0,37,2365,188,0,0,0,0
174,文莱,亚洲,2021,08.30,False,0,0,2462,0,7,289,2166,0,0,0,0
175,圣文森特和格林纳丁斯,北美洲,2021,08.30,False,0,0,2331,0,12,2233,86,0,0,0,0
176,安提瓜和巴布达,北美洲,2021,08.30,False,0,0,1651,0,43,1239,369,0,0,0,0
177,多米尼克,北美洲,2021,08.30,False,0,0,1638,0,4,209,1425,0,0,0,0
178,坦桑尼亚,非洲,2021,08.30,False,0,0,1367,0,50,183,1134,0,0,0,0
179,圣基茨和尼维斯,北美洲,2021,08.30,False,0,0,1053,0,3,549,501,0,0,0,0
180,钻石号邮轮,其他,2021,08.30,False,0,0,712,0,13,699,0,0,0,0,0
181,格林纳达,北美洲,2021,08.30,False,40,0,357,0,1,161,195,0,0,0,0
182,马提尼克岛,北美洲,2020,03.23,False,0,0,37,0,1,0,36,0,0,0,0
183,梵蒂冈,欧洲,2021,08.30,False,0,0,27,0,0,27,0,0,0,0,0
184,所罗门群岛,大洋洲,2021,08.30,False,0,0,20,0,0,20,0,0,0,0,0
185,西撒哈拉,非洲,2020,12.09,False,0,0,10,0,1,8,1,0,0,0,0
186,尚丹号,,2021,08.30,False,0,0,9,0,2,7,0,0,0,0,0
187,马绍尔群岛,大洋洲,2021,08.30,False,0,0,4,0,0,4,0,0,0,0,0
188,瓦努阿图,大洋洲,2021,08.30,False,0,0,4,0,1,3,0,0,0,0,0
189,萨摩亚,,2021,08.30,False,0,0,3,0,0,3,0,0,0,0,0
190,密克罗尼西亚,,2021,08.30,False,0,0,1,0,0,1,0,0,0,0,0
